contestant_id,season_idx,season,weeks_participated,placement,celebrity_name,week_idx,judge_rank,score_sum,vote_rank,total_rank,obs_id,estimated_strength,fan_votes
55,4,30,3,14,21,1,8,-0.41551406,10,18,312,1.900281216,13.13631174
56,4,30,6,10,68,1,8,-0.41551406,10,18,313,2.128151011,14.71153578
57,4,30,10,4,5,1,1,1.578953426,1,2,314,50.48632582,64.28811798
44,4,30,4,13,12,2,6,-1.199250702,12,18,315,3.723046823,15.87231143
45,4,30,9,6,81,2,2,0.899438027,4,6,316,13.01264049,21.09984786
46,4,30,4,12,77,2,5,-0.67457852,10,15,317,5.302867976,17.75397265
47,4,30,7,9,82,2,3,0.374765844,5,8,318,11.53845998,23.82421979
48,4,30,9,5,102,2,4,-0.149906338,7,11,319,9.614502685,25.2786927
49,4,30,10,1,41,2,6,-1.199250702,12,18,320,6.387844919,27.23303486
50,4,30,10,3,22,2,7,-1.723922885,14,21,321,8.101118098,43.97882153
51,4,30,5,11,80,2,3,0.374765844,5,8,322,7.033758815,14.52306601
52,4,30,8,7,52,2,5,-0.67457852,10,15,323,6.023488714,20.16660689
53,4,30,8,8,87,2,1,1.424110209,1,2,324,21.42263071,27.27908177
54,4,30,10,2,53,2,1,1.424110209,1,2,325,36.07152805,45.93264836
55,4,30,3,14,21,2,4,-0.149906338,7,11,326,1.393835691,3.664707917
56,4,30,6,10,68,2,4,-0.149906338,7,11,327,5.583561212,14.68043982
57,4,30,10,4,5,2,1,1.424110209,1,2,328,39.24313245,49.97129595
44,4,30,4,13,12,3,10,-2.075715563,13,23,329,0.623609931,6.990085471
45,4,30,9,6,81,3,1,1.510805631,1,2,330,16.98887637,21.63324169
46,4,30,4,12,77,3,9,-1.221781945,12,21,331,0.770593461,6.783250202
47,4,30,7,9,82,3,5,0.144511843,7,12,332,4.719143945,15.79966782
48,4,30,9,5,102,3,3,0.656872014,4,7,333,13.08424086,27.0158956
49,4,30,10,1,41,3,6,-0.197061604,9,15,334,6.036777301,25.73634282
50,4,30,10,3,22,3,8,-1.050995222,11,19,335,5.851464963,40.45015402
51,4,30,5,11,80,3,4,0.315298567,6,10,336,4.041275527,10.62542344
52,4,30,8,7,52,3,5,0.144511843,7,12,337,5.397449784,18.07063202
53,4,30,8,8,87,3,2,0.998445461,2,4,338,11.89408935,19.28612997
54,4,30,10,2,53,3,2,0.998445461,2,4,339,20.01327648,32.45129914
56,4,30,6,10,68,3,7,-0.880208498,10,17,340,1.946404999,10.5665165
57,4,30,10,4,5,3,3,0.656872014,4,7,341,14.30096767,29.52815174
45,4,30,9,6,81,4,3,0.310630372,3,6,342,7.209161843,14.88523222
47,4,30,7,9,82,4,5,-0.931891116,9,14,343,3.764506731,12.60354771
48,4,30,9,5,102,4,3,0.310630372,3,6,344,11.92022176,24.61246853
49,4,30,10,1,41,4,6,-2.174412605,11,17,345,4.660815649,19.87026245
50,4,30,10,3,22,4,5,-0.931891116,9,14,346,11.43760365,38.29303375
51,4,30,5,11,80,4,3,0.310630372,3,6,347,1.454238887,3.002663002
52,4,30,8,7,52,4,4,-0.310630372,8,12,348,5.712749611,15.02010521
53,4,30,8,8,87,4,3,0.310630372,3,6,349,7.523132977,15.53350914
54,4,30,10,2,53,4,1,1.55315186,1,2,350,24.38987724,31.05750478
