season,week,n_contestants_rank,rho_rank,p_value_rank,n_contestants_share,rho_share,p_value_share,diff
15,4,9,0.7999999999999999,0.00962792472537983,9,0.9,0.0009430623223403293,0.10000000000000009
15,5,8,0.6024533658898499,0.11396448084515579,8,0.8095238095238096,0.014902667686230067,0.20707044363395977
15,6,8,0.686796837114429,0.05989745556707226,8,0.8333333333333335,0.01017554012345675,0.14653649621890452
15,7,7,0.8468812149338255,0.016197127467871632,7,1.0,0.0,0.1531187850661745
15,8,7,0.9636241116594317,0.0004753043398840433,7,0.8928571428571429,0.006807187408935393,-0.07076696880228883
15,9,5,0.8720815992723809,0.05385421772754211,5,0.6,0.28475697986529375,-0.27208159927238096
16,1,12,0.7972027972027973,0.0019003677255282707,12,0.7552447552447553,0.004508435484294225,-0.04195804195804198
16,2,12,0.8807071758072424,0.00015522453975657012,12,0.9440559440559443,3.927261080965945e-06,0.06334876824870184
16,3,11,0.7899625734105961,0.0038173876554122937,11,0.881818181818182,0.0003301688021839005,0.09185560840758589
16,4,10,0.686933264358473,0.028205560771255266,10,0.8666666666666665,0.0011735381801554687,0.17973340230819346
16,5,9,0.8655767810204985,0.0025646674074945057,9,0.9333333333333332,0.00023589981215941676,0.06775655231283473
16,6,8,0.8539125638299666,0.00696528831948064,8,0.9285714285714287,0.0008629681828999769,0.0746588647414621
16,7,7,0.909241209316635,0.004536556036432553,7,0.7500000000000002,0.05218140045705776,-0.15924120931663477
16,8,6,0.9411239481143202,0.0050975405648614755,6,0.8857142857142858,0.01884548104956266,-0.05540966240003442
16,9,5,0.6668859288553503,0.21889398131323154,5,0.7,0.1881204043741873,0.033114071144649704
16,10,4,0.9486832980505139,0.05131670194948612,4,0.7999999999999999,0.20000000000000007,-0.14868329805051395
17,1,12,0.886165982448008,0.0001239888771426087,12,0.8111888111888113,0.0013633152527271922,-0.07497717125919678
17,2,12,0.9136157704280913,3.272255132099058e-05,12,0.9300699300699302,1.1702227928659668e-05,0.01645415964183894
17,3,11,0.7899625734105961,0.0038173876554122937,11,0.7636363636363637,0.006233059747904751,-0.02632620977423239
17,4,10,0.9757575757575757,1.4675461874042197e-06,10,0.8909090909090909,0.0005421442248338665,-0.08484848484848484
17,5,9,0.6443571047419068,0.06103295769909979,9,0.8333333333333333,0.005265691029161747,0.1889762285914265
17,6,8,0.7637626158259734,0.027396043909112044,8,0.11904761904761905,0.7788857260523797,-0.6447149967783543
17,7,8,0.9157291161525718,0.0014031743248924412,8,0.7619047619047621,0.028004939153071794,-0.1538243542478097
17,8,7,0.8288624656799143,0.021173515581004273,7,0.642857142857143,0.11939237342741094,-0.18600532282277127
17,9,6,0.753702346348183,0.0835232813732598,6,0.6,0.20799999999999985,-0.15370234634818303
17,10,5,0.8944271909999159,0.040519326353834,5,0.8999999999999998,0.03738607346849874,0.005572809000083945
17,11,4,0.316227766016838,0.683772233983162,4,1.0,0.0,0.683772233983162
18,1,12,0.9103817221537509,3.910534427840821e-05,12,0.9160839160839163,2.8428045348547105e-05,0.005702193930165356
18,2,11,0.9090909090909091,0.00010559337630360869,11,0.9,0.00015997142806871369,-0.009090909090909038
18,3,9,0.7698812160552653,0.015240184856772943,9,0.7666666666666667,0.01594401657897401,-0.003214549388598553
18,4,7,0.8108437164260032,0.02691632884316199,7,0.7500000000000002,0.05218140045705776,-0.06084371642600295
18,5,9,0.6694619270045785,0.04856819494488676,9,0.7833333333333333,0.012519873019449882,0.11387140632875481
18,6,8,0.8742671711966791,0.004512385603651026,8,0.9285714285714287,0.0008629681828999769,0.05430425737474964
18,7,7,0.9265616458263765,0.00269747609786969,7,0.8571428571428573,0.01369732661532562,-0.06941878868351914
18,8,6,0.2571428571428572,0.6227871720116618,6,0.48571428571428577,0.32872303206997094,0.2285714285714286
18,9,5,0.8720815992723809,0.05385421772754211,5,0.09999999999999999,0.8728885715695383,-0.772081599272381
18,10,4,,,4,0.6000000000000001,0.3999999999999999,
19,1,13,0.9065934065934067,1.9296152005272254e-05,13,0.8516483516483516,0.00022021941625366222,-0.05494505494505508
19,2,12,0.9193039046274801,2.350657612000038e-05,12,0.8391608391608393,0.0006428259886278202,-0.08014306546664085
19,3,11,0.8127938616594571,0.002356110671949813,11,0.790909090909091,0.003746082953397406,-0.0218847707503661
19,4,10,0.8924133096001623,0.0005138199647844681,10,0.9515151515151514,2.279854920641689e-05,0.05910184191498913
19,5,9,0.8619322310183948,0.002805928967837699,9,0.8666666666666667,0.0024953982859902053,0.004734435648271917
19,6,9,0.803354312405494,0.009106405386878009,9,0.9333333333333332,0.00023589981215941676,0.1299790209278392
19,7,8,0.5006261743217589,0.20637138322918355,8,0.7619047619047621,0.028004939153071794,0.26127858758300315
19,8,7,0.6736330697086078,0.09710371895937761,7,0.7857142857142859,0.03623846267982713,0.11208121600567811
19,9,6,0.898645105261295,0.014888622005580344,6,0.8285714285714287,0.04156268221574334,-0.0700736766898663
19,10,5,0.46169025843831935,0.43376615616902786,5,0.6,0.28475697986529375,0.13830974156168063
19,11,4,0.9486832980505139,0.05131670194948612,4,0.7999999999999999,0.20000000000000007,-0.14868329805051395
20,1,12,0.9649182205059428,3.945432272231058e-07,12,0.9510489510489512,2.0384246324655723e-06,-0.013869269456991629
20,2,12,0.8951048951048951,8.36658642909172e-05,12,0.8601398601398602,0.0003316683391269209,-0.03496503496503489
20,3,11,0.9658339408657951,1.4034896344311907e-06,11,0.9363636363636365,2.208207644917754e-05,-0.029470304502158595
20,4,10,0.9240164263936982,0.00013295265816009116,10,0.8424242424242423,0.0022200312259168407,-0.08159218396945589
20,5,9,0.9333333333333332,0.00023589981215941676,9,0.9,0.0009430623223403293,-0.033333333333333215
20,6,8,0.9523809523809524,0.00026040002438725105,8,0.8333333333333335,0.01017554012345675,-0.11904761904761896
20,7,7,0.054056247761733546,0.9083652825239955,7,0.8928571428571429,0.006807187408935393,0.8388008950954093
