season,week,celebrity_name,vote_mean,judge_percentage,total_percentage,actual_elim_week,was_eliminated_this_week,results,rank,lowest_in_week,prediction_correct,eliminated_this_week,eliminated_rank,total_contestants
28,2,Ally Brooke,0.0858894155609633,0.091324200913242,0.1772136164742053,-1,False,3rd Place,10,False,False,Mary Wilson,3.0,12
28,2,Lamar Odom,0.0829667732944232,0.0547945205479452,0.1377612938423684,4,False,Eliminated Week 4,1,True,False,Mary Wilson,3.0,12
28,2,Mary Wilson,0.0828700043805846,0.0684931506849315,0.15136315506551612,2,True,Eliminated Week 2,3,False,False,Mary Wilson,3.0,12
28,2,Hannah Brown,0.0823227090360729,0.1095890410958904,0.19191175013196332,-1,False,1st Place,12,False,False,Mary Wilson,3.0,12
28,2,Lauren Alaina,0.0815568328313007,0.0867579908675799,0.16831482369888062,-1,False,4th Place,6,False,False,Mary Wilson,3.0,12
28,2,James Van Der Beek,0.0813103880688767,0.091324200913242,0.1726345889821187,10,False,Eliminated Week 10,7,False,False,Mary Wilson,3.0,12
28,2,Kate Flannery,0.0780758398746432,0.0958904109589041,0.1739662508335473,8,False,Eliminated Week 8,9,False,False,Mary Wilson,3.0,12
28,2,Ray Lewis,0.0776638632095869,0.0684931506849315,0.1461570138945184,-1,False,Withdrew,2,False,False,Mary Wilson,3.0,12
28,3,Sean Spicer,0.1067730337529575,0.0757575757575757,0.1825306095105332,9,False,Eliminated Week 9,3,False,False,,,10
28,3,Lamar Odom,0.1032350544898625,0.0606060606060606,0.1638411150959231,4,False,Eliminated Week 4,1,True,False,,,10
28,3,Lauren Alaina,0.1020124119319175,0.101010101010101,0.2030225129420185,-1,False,4th Place,5,False,False,,,10
28,3,Karamo Brown,0.100529209516161,0.0808080808080808,0.18133729032424178,7,False,Eliminated Week 7,2,False,False,,,10
28,3,Hannah Brown,0.0988991965497337,0.106060606060606,0.2049598026103397,-1,False,1st Place,6,False,False,,,10
28,3,Kel Mitchell,0.0986377274195173,0.101010101010101,0.1996478284296183,-1,False,2nd Place,4,False,False,,,10
28,3,Ally Brooke,0.0985501131311841,0.1212121212121212,0.2197622343433053,-1,False,3rd Place,10,False,False,,,10
28,3,James Van Der Beek,0.0975287090903582,0.1161616161616161,0.2136903252519743,10,False,Eliminated Week 10,8,False,False,,,10
28,3,Kate Flannery,0.0971209262993747,0.1212121212121212,0.2183330475114959,8,False,Eliminated Week 8,9,False,False,,,10
28,3,Sailor Brinkley-Cook,0.0967136178189331,0.1161616161616161,0.2128752339805492,6,False,Eliminated Week 6,7,False,False,,,10
28,4,Sean Spicer,0.1058085321387677,0.0744680851063829,0.1802766172451506,9,False,Eliminated Week 9,2,False,True,Lamar Odom,1.0,10
28,4,James Van Der Beek,0.1047182164431914,0.0992907801418439,0.2040089965850353,10,False,Eliminated Week 10,5,False,True,Lamar Odom,1.0,10
28,4,Kate Flannery,0.1015030751842811,0.0921985815602836,0.1937016567445647,8,False,Eliminated Week 8,3,False,True,Lamar Odom,1.0,10
28,4,Lauren Alaina,0.1010978239668842,0.1134751773049645,0.2145730012718487,-1,False,4th Place,10,False,True,Lamar Odom,1.0,10
28,4,Ally Brooke,0.1009997122119215,0.1134751773049645,0.21447488951688598,-1,False,3rd Place,9,False,True,Lamar Odom,1.0,10
28,4,Kel Mitchell,0.0999550877893901,0.1134751773049645,0.2134302650943546,-1,False,2nd Place,8,False,True,Lamar Odom,1.0,10
28,4,Sailor Brinkley-Cook,0.0974010539074026,0.1099290780141844,0.207330131921587,6,False,Eliminated Week 6,6,False,True,Lamar Odom,1.0,10
28,4,Hannah Brown,0.0966470505989776,0.1134751773049645,0.21012222790394208,-1,False,1st Place,7,False,True,Lamar Odom,1.0,10
28,4,Karamo Brown,0.0965324933452747,0.0992907801418439,0.1958232734871186,7,False,Eliminated Week 7,4,False,True,Lamar Odom,1.0,10
28,4,Lamar Odom,0.0953369544139085,0.0709219858156028,0.16625894022951132,4,True,Eliminated Week 4,1,True,True,Lamar Odom,1.0,10
28,5,Kate Flannery,0.1179844846611495,0.1116279069767441,0.2296123916378936,8,False,Eliminated Week 8,6,False,False,,,9
28,5,Karamo Brown,0.1177584904946506,0.0976744186046511,0.2154329090993017,7,False,Eliminated Week 7,3,False,False,,,9
28,5,James Van Der Beek,0.1156078416401917,0.1209302325581395,0.2365380741983312,10,False,Eliminated Week 10,8,False,False,,,9
28,5,Kel Mitchell,0.112375788920994,0.1209302325581395,0.23330602147913349,-1,False,2nd Place,7,False,False,,,9
28,5,Ally Brooke,0.1119294162986362,0.1255813953488372,0.2375108116474734,-1,False,3rd Place,9,False,False,,,9
